english	german	russian
1981–82_European_Cup	Europapokal_der_Landesmeister_1981/82	Кубок_европейских_чемпионов_1981/1982
Guantanamo_Bay_detention_camp	Gefangenenlager_der_Guantanamo_Bay_Naval_Base	Тюрьма_в_Гуантанамо
Passage_grave	Ganggrab	Коридорная_гробница
Osaka	Osaka	Осака
Canary_Islands	Kanarische_Inseln	Канарские_острова
	Lutschütz	
	August_Schwendenwein_von_Lanauberg	
FS_Class_ALe_803	FS_ALe_803	
Brenta,_Lombardy	Brenta_(Lombardei)	Брента_(город)
Lemgo	Lemgo	Лемго
	Fritz_Schäuffele	
Park_Row_(Manhattan)	Park_Row_(Manhattan)	
European_Table_Tennis_Championships	Tischtennis-Europameisterschaft	Чемпионат_Европы_по_настольному_теннису
Reemtsma	Reemtsma_Cigarettenfabriken	
Bouhy	Bouhy	
Cube_Zero	Cube_Zero	Куб_Ноль
Berthold_Type_Foundry	H._Berthold_AG	
	Auslandsaufenthalt	
	Dreikönigschule	
Chevrolet_Monte_Carlo	Chevrolet_Monte_Carlo	Chevrolet_Monte_Carlo
Drum_kit	Schlagzeug	Ударная_установка
Peter_Cincotti	Peter_Cincotti	
Bedrock	Anstehendes_Gestein	
	Kolleg_Utena	
	Saison-Kurzarbeitergeld	
Electronic_dance_music	Elektronische_Tanzmusik	EDM
Communist_Party_of_China	Kommunistische_Partei_Chinas	Коммунистическая_партия_Китая
Mathematics	Mathematik	Математика
Deportivo_de_La_Coruña	Deportivo_La_Coruña	Депортиво_Ла-Корунья
Krasnystaw	Krasnystaw	Красныстав
Pula	Pula	Пула
BC_Žalgiris	Žalgiris_Kaunas	Жальгирис_(баскетбольный_клуб)
Sossenheim	Frankfurt-Sossenheim	
Ben_Stiller	Ben_Stiller	Стиллер,_Бен
Nerio_Bernardi	Nerio_Bernardi	
	Laurentiusberg	
	Concordia_Ball	
2004_Summer_Olympics	Olympische_Sommerspiele_2004	Летние_Олимпийские_игры_2004
July_21	21._Juli	21_июля
Conservatoire_de_Paris	Pariser_Konservatorium	Парижская_Высшая_национальная_консерватория_музыки_и_танца
Liebenwalde	Liebenwalde	Либенвальде
Slutsk	Sluzk	Слуцк
San_Lorenzo_de_Almagro	Club_Atlético_San_Lorenzo_de_Almagro	Сан-Лоренсо_де_Альмагро
Set_piece_(football)	Standardsituation	
Principality_of_Reuss-Gera	Reuß_jüngerer_Linie	Рейсс_(младшей_линии)
	SadiQ	
	Karlheinz_Summerer	
French_franc	Französischer_Franc	Французский_франк
Kingdom_of_Hungary	Königreich_Ungarn	Королевство_Венгрия
	Das_Geheimnis_des_Königssees	
	Subjekt_(Psychosomatik)	
	Denkmalgeschützte_Objekte_im_Žilinský_kraj	
1906	1906	1906_год
	Max_Benkwitz	
	Schönburgische_Herrschaften	
