language,topic,event,r1_rater1,r1_rater2,r1_rater3,r2_rater1,r2_rater2,r2_rater3,r3_rater1,r3_rater2,r3_rater3
German,Q361,Q239255,3,3,,3,3,,2,3,
German,Q361,Q473893,0,1,,1,1,,0,1,
German,Q361,Q152989,3,3,,3,3,,2,3,
German,Q361,Q1144824,3,3,,3,3,,2,3,
German,Q361,Q154573,3,3,,3,3,,2,3,
German,Q361,Q8736,3,3,3.0,3,3,3.0,2,3,0.0
German,Q361,Q253224,3,3,3.0,2,3,3.0,3,2,2.0
German,Q361,Q3360277,2,1,1.0,3,3,3.0,2,1,2.0
German,Q361,Q321955,3,3,3.0,3,2,3.0,3,1,2.0
German,Q361,Q1624210,3,2,3.0,2,1,2.0,2,0,0.0
German,Q361,Q362,3,3,,3,3,,3,3,
German,Q361,Q911448,3,3,,3,3,,2,2,
German,Q361,Q17327137,3,3,,3,3,,0,2,
German,Q361,Q18022479,3,3,,3,3,,0,2,
German,Q361,Q750567,0,3,,0,3,,0,2,
German,Q362,Q2390036,3,3,,3,3,,3,2,
German,Q362,Q151340,3,3,,3,3,,3,2,
German,Q362,Q3846240,3,3,,3,2,,3,2,
German,Q362,Q708223,3,3,,3,2,,3,2,
German,Q362,Q569454,3,3,,2,2,,2,2,
German,Q362,Q361,3,2,,3,2,,3,2,
German,Q362,Q707698,2,3,,2,2,,2,3,
German,Q362,Q2628983,3,3,,3,2,,3,2,
German,Q362,Q150812,3,3,,3,3,,3,2,
German,Q362,Q113083,3,3,,3,2,,2,2,
German,Q362,Q83055,3,2,,2,2,,2,1,
German,Q362,Q29665,3,3,,3,3,,3,2,
German,Q362,Q184425,3,3,,2,2,,3,3,
German,Q362,Q701542,3,3,,3,3,,2,1,
German,Q362,Q472100,2,2,,2,2,,2,1,
German,Q145,Q220208,3,3,,1,1,,2,1,
German,Q145,Q3395662,3,3,,1,1,,2,2,
German,Q145,Q1810095,2,3,,1,1,,1,1,
German,Q145,Q223313,3,3,,1,1,,2,2,
German,Q145,Q918397,3,3,,1,1,,2,1,
German,Q145,Q6842599,3,3,3.0,1,1,1.0,2,1,2.0
German,Q145,Q3443265,3,3,3.0,2,1,1.0,2,1,1.0
German,Q145,Q5268335,3,1,1.0,3,1,1.0,2,1,1.0
German,Q145,Q6319135,3,3,2.0,3,1,2.0,3,2,2.0
German,Q145,Q918503,3,3,3.0,1,1,2.0,1,1,2.0
German,Q145,Q1369077,3,3,,1,1,,2,1,
German,Q145,Q1640586,3,3,,1,1,,1,1,
German,Q145,Q7888194,3,3,,2,1,,2,2,
German,Q145,Q15728060,3,3,,1,1,,1,1,
German,Q145,Q2577772,3,3,,1,1,,1,1,
German,Q183,Q324672,3,3,,2,2,,2,3,
German,Q183,Q7239990,3,3,,2,2,,1,1,
German,Q183,Q56045,3,3,,3,3,,2,3,
German,Q183,Q382988,3,3,,3,3,,2,2,
German,Q183,Q57303360,2,2,,2,2,,1,1,
German,Q183,Q57831711,3,3,,3,3,,1,3,
German,Q183,Q21043539,2,3,,2,3,,1,1,
German,Q183,Q1300727,2,3,,2,3,,1,2,
German,Q183,Q1552108,2,3,,2,3,,1,1,
German,Q183,Q1203590,3,3,,2,2,,1,1,
German,Q183,Q1201878,2,3,,2,2,,1,2,
German,Q183,Q274811,3,3,,3,3,,3,3,
German,Q183,Q613562,3,2,,2,2,,1,2,
German,Q183,Q12857637,3,3,,2,3,,2,3,
German,Q183,Q55622091,3,3,,3,3,,1,1,
German,Q220505,Q1255691,2,3,,2,3,,1,2,
German,Q220505,Q332869,2,3,,2,2,,2,2,
German,Q220505,Q749235,2,3,,1,2,,1,2,
German,Q220505,Q49024,3,3,,3,1,,3,2,
German,Q220505,Q1794431,2,2,,2,3,,2,2,
German,Q220505,Q130871,3,3,,3,3,,3,3,
German,Q220505,Q543565,3,3,,3,3,,2,2,
German,Q220505,Q1414659,3,3,,3,3,,2,2,
German,Q220505,Q687212,3,3,,3,3,,3,2,
German,Q220505,Q24862,3,2,,1,1,,2,3,
German,Q220505,Q1632192,3,3,,1,1,,1,1,
German,Q220505,Q1575270,3,3,,1,3,,1,2,
German,Q220505,Q1325279,3,3,,1,1,,1,1,
German,Q5043,Q8463,3,2,,1,1,,2,3,
German,Q5043,Q4207621,3,3,,1,2,,2,2,
German,Q5043,Q35856,3,3,,2,2,,2,3,
German,Q5043,Q3530779,3,3,,2,2,,2,2,
German,Q5043,Q324640,3,3,,1,1,,1,2,
German,Q5043,Q16869,2,2,,1,1,,2,2,
German,Q5043,Q828161,2,2,,1,1,,1,1,
German,Q5043,Q51624,3,2,,1,2,,2,2,
German,Q5043,Q4010915,3,3,,2,2,,2,2,
German,Q5043,Q194253,3,3,,1,2,,2,3,
German,Q5043,Q7066,3,2,,3,2,,3,2,
German,Q5043,Q127997,3,3,,2,2,,3,2,
German,Q5043,Q1327538,3,3,,3,2,,3,2,
German,Q5043,Q138681,2,2,,2,2,,2,1,
German,Q5389,Q393189,2,3,,2,2,,1,2,
German,Q5389,Q8080,3,3,,3,2,,3,2,
German,Q5389,Q1134131,2,2,,2,2,,1,2,
German,Q5389,Q208137,2,3,,2,2,,2,2,
German,Q5389,Q828144,2,2,,1,2,,1,2,
German,Q5389,Q8558,3,3,,2,2,,3,2,
German,Q5389,Q159821,3,3,,2,2,,3,2,
German,Q5389,Q1353929,2,2,,2,1,,2,1,
German,Q5389,Q8544,3,3,,2,2,,3,2,
German,Q5389,Q1399526,2,1,,2,1,,3,1,
German,Q5389,Q655318,3,3,,1,2,,2,2,
German,Q5389,Q8567,3,3,,1,2,,2,3,
German,Q5389,Q686162,3,2,,1,1,,2,1,
German,Q11629,Q10857409,3,3,,2,2,,3,3,
German,Q11629,Q372600,3,3,,1,1,,2,1,
German,Q11629,Q134147,2,3,,1,1,,3,3,
German,Q11629,Q173436,2,2,,2,2,,2,3,
German,Q11629,Q705593,3,3,,3,2,,3,1,
German,Q11629,Q265533,2,2,,2,2,,1,1,
German,Q11629,Q582172,2,1,,3,3,,2,2,
German,Q11629,Q1792294,2,2,,3,3,,1,1,
German,Q11629,Q160218,2,3,,3,3,,2,2,
German,Q11629,Q769103,2,2,,3,3,,2,2,
German,Q11629,Q774061,3,3,,1,1,,2,2,
German,Q11629,Q265378,3,2,,1,2,,2,1,
German,Q11629,Q265448,3,2,,1,2,,2,1,
German,Q11629,Q42934,3,3,,1,1,,2,2,
German,Q8016,Q685461,3,3,2.0,3,3,3.0,1,2,0.0
German,Q8016,Q235045,1,1,1.0,1,3,2.0,2,1,2.0
German,Q8016,Q918397,3,3,3.0,1,1,1.0,1,2,0.0
German,Q8016,Q517639,2,1,3.0,1,1,1.0,1,1,0.0
German,Q8016,Q699411,3,1,3.0,3,3,3.0,2,2,2.0
German,Q8016,Q502093,3,3,,1,3,,2,3,
German,Q8016,Q5042973,1,0,,1,0,,1,0,
German,Q8016,Q3360277,1,1,,3,3,,2,2,
German,Q8016,Q161227,3,3,,2,3,,2,3,
German,Q8016,Q181978,3,3,,1,2,,2,2,
German,Q8016,Q1572233,3,3,,1,1,,2,1,
German,Q8016,Q918147,2,2,,3,3,,3,2,
German,Q8016,Q150974,3,3,,2,2,,2,3,
German,Q8016,Q6842599,2,2,,1,1,,2,1,
German,Q49773,Q249367,3,3,2.0,1,2,1.0,2,2,2.0
