language,topic,event,r1_rater1,r1_rater2,r1_rater3,r2_rater1,r2_rater2,r2_rater3,r3_rater1,r3_rater2,r3_rater3
Russian,Q361,Q11347885,3,3,,3,3,,2,2,
Russian,Q361,Q571893,2,3,,3,1,,2,2,
Russian,Q361,Q152989,3,3,,1,3,,3,3,
Russian,Q361,Q918147,2,3,,3,2,,2,2,
Russian,Q361,Q659745,3,3,,1,2,,2,2,
Russian,Q361,Q426227,3,3,,2,2,,2,2,
Russian,Q361,Q132568,3,3,,2,1,,2,2,
Russian,Q361,Q79911,3,3,,3,3,,2,3,
Russian,Q361,Q362,2,3,,2,3,,2,3,
Russian,Q361,Q190712,3,3,,2,1,,2,2,
Russian,Q361,Q253224,3,3,,2,2,,3,3,
Russian,Q361,Q154573,3,3,,2,2,,3,3,
Russian,Q361,Q662961,3,3,,1,1,,2,2,
Russian,Q361,Q8736,3,3,,3,3,,2,3,
Russian,Q362,Q150812,3,3,3.0,3,3,1.0,3,2,2.0
Russian,Q362,Q4289228,1,3,3.0,1,3,1.0,1,2,2.0
Russian,Q362,Q16636660,3,3,3.0,3,2,0.0,3,1,2.0
Russian,Q362,Q151340,3,3,3.0,3,2,0.0,3,2,1.0
Russian,Q362,Q1993476,3,3,1.0,3,3,1.0,3,3,0.0
Russian,Q362,Q83055,3,3,,3,3,,3,2,
Russian,Q362,Q564388,3,3,,3,2,,2,2,
Russian,Q362,Q9347510,3,3,,3,2,,2,1,
Russian,Q362,Q696256,3,3,,3,3,,2,1,
Russian,Q362,Q696817,3,3,,2,2,,3,2,
Russian,Q362,Q216184,3,3,,2,2,,3,2,
Russian,Q362,Q184425,3,3,,2,3,,3,2,
Russian,Q362,Q819136,3,3,,2,2,,2,2,
Russian,Q362,Q361,2,2,,2,3,,3,2,
Russian,Q362,Q702176,3,3,,1,1,,2,2,
Russian,Q145,Q7888194,3,3,,1,2,,2,3,
Russian,Q145,Q223313,3,3,,1,2,,1,2,
Russian,Q145,Q541191,3,3,,1,1,,2,1,
Russian,Q145,Q918378,3,3,,2,1,,2,1,
Russian,Q145,Q1141048,2,2,,1,2,,2,2,
Russian,Q145,Q565165,3,3,,2,2,,2,2,
Russian,Q145,Q7467819,3,2,,1,1,,2,1,
Russian,Q145,Q1371194,3,3,,2,2,,2,3,
Russian,Q145,Q21812812,3,3,,2,1,,3,2,
Russian,Q145,Q2011607,3,3,,1,2,,1,3,
Russian,Q145,Q1369077,3,2,,1,1,,2,1,
Russian,Q145,Q1282250,3,2,,2,2,,2,2,
Russian,Q145,Q918397,3,2,,1,1,,2,1,
Russian,Q145,Q220208,3,2,,1,1,,2,1,
Russian,Q183,Q2584708,3,3,,1,1,,2,2,
Russian,Q183,Q29236,3,3,,1,2,,2,2,
Russian,Q183,Q57303360,3,2,,1,1,,1,1,
Russian,Q183,Q699564,3,3,,2,2,,2,2,
Russian,Q183,Q55622091,3,2,,1,1,,1,1,
Russian,Q183,Q153606,3,2,,1,1,,2,1,
Russian,Q183,Q1552108,1,2,,1,1,,1,1,
Russian,Q183,Q21043539,2,2,,1,1,,1,1,
Russian,Q183,Q1203590,3,3,,2,1,,1,2,
Russian,Q183,Q850193,2,3,,1,3,,0,3,
Russian,Q183,Q81418,3,3,,2,2,,1,2,
Russian,Q183,Q153134,2,3,,1,1,,1,2,
Russian,Q183,Q153093,2,3,,1,1,,1,2,
Russian,Q183,Q153998,3,3,,2,1,,2,2,
Russian,Q183,Q636342,2,3,,1,1,,1,1,
Russian,Q220505,Q49024,3,3,,1,1,,3,3,
Russian,Q220505,Q2278467,3,3,,3,3,,2,2,
Russian,Q220505,Q4332594,3,3,,3,3,,2,2,
Russian,Q220505,Q622423,3,3,,1,1,,2,2,
Russian,Q220505,Q130871,3,3,,1,1,,3,3,
Russian,Q220505,Q332869,3,3,,1,1,,2,2,
Russian,Q220505,Q502053,3,3,,1,1,,2,2,
Russian,Q220505,Q1666659,3,3,,1,1,,2,2,
Russian,Q220505,Q24862,3,2,,3,2,,3,2,
Russian,Q220505,Q1632192,3,3,,3,3,,1,2,
Russian,Q220505,Q749235,3,3,,3,3,,2,2,
Russian,Q5043,Q16869,3,1,,3,1,,2,1,
Russian,Q5043,Q162145,3,2,,1,2,,1,2,
Russian,Q5043,Q217059,3,2,,1,2,,1,2,
Russian,Q5043,Q7066,3,2,,2,2,,2,3,
Russian,Q5043,Q172331,3,2,,2,2,,2,3,
Russian,Q5043,Q657907,2,3,,3,3,,2,2,
Russian,Q5043,Q8463,2,2,,1,3,,2,2,
Russian,Q5043,Q6843150,2,2,,1,1,,1,2,
Russian,Q5043,Q35856,3,3,,2,2,,2,2,
Russian,Q5043,Q174888,3,3,,2,2,,2,2,
Russian,Q5043,Q940573,3,2,,1,1,,1,1,
Russian,Q5043,Q1539307,3,2,,2,1,,2,2,
Russian,Q5043,Q194253,3,2,,1,1,,2,2,
Russian,Q5043,Q201201,3,3,,3,3,,3,3,
Russian,Q5389,Q8544,3,3,,2,2,,3,2,
Russian,Q5389,Q73633,3,3,,3,3,,2,3,
Russian,Q5389,Q9660,3,3,,2,2,,3,2,
Russian,Q5389,Q8567,3,3,,3,2,,3,2,
Russian,Q5389,Q159821,3,3,,2,3,,3,3,
Russian,Q5389,Q645688,3,3,,1,2,,2,2,
Russian,Q5389,Q1399526,2,2,,1,2,,2,2,
Russian,Q5389,Q8558,3,3,,1,2,,2,3,
Russian,Q5389,Q578715,3,3,,1,3,,2,2,
Russian,Q5389,Q12115698,2,2,,1,3,,2,2,
Russian,Q5389,Q8088,3,2,,2,2,,3,2,
Russian,Q5389,Q82414,3,3,,3,3,,3,3,
Russian,Q5389,Q9634,3,2,,1,2,,3,2,
Russian,Q11629,Q10857409,2,3,2.0,0,1,2.0,2,3,3.0
Russian,Q11629,Q238255,1,2,1.0,0,3,2.0,1,3,2.0
Russian,Q11629,Q2914470,2,3,3.0,1,1,1.0,1,2,2.0
Russian,Q11629,Q372600,1,3,3.0,0,2,1.0,1,3,2.0
Russian,Q11629,Q160218,1,2,1.0,0,1,1.0,1,1,2.0
Russian,Q11629,Q2164653,3,2,3.0,1,2,3.0,2,2,2.0
Russian,Q11629,Q1898510,1,1,1.0,0,1,2.0,1,1,2.0
Russian,Q11629,Q466521,3,2,3.0,1,2,0.0,2,2,2.0
Russian,Q11629,Q265533,3,2,2.0,1,2,0.0,1,2,2.0
Russian,Q11629,Q654057,2,1,1.0,1,1,1.0,1,1,1.0
Russian,Q11629,Q1161370,1,2,1.0,1,1,1.0,1,2,2.0
Russian,Q11629,Q42934,3,3,3.0,3,1,2.0,3,2,3.0
Russian,Q11629,Q265448,3,2,2.0,2,1,1.0,3,1,0.0
Russian,Q8016,Q150974,3,3,,3,2,,3,2,
Russian,Q8016,Q3555004,3,3,,3,3,,3,3,
Russian,Q8016,Q2745155,3,2,,1,1,,1,1,
Russian,Q8016,Q502093,3,3,,2,1,,2,2,
Russian,Q8016,Q918397,3,3,,1,1,,1,1,
Russian,Q8016,Q1580896,1,3,,1,3,,1,2,
Russian,Q8016,Q4065188,3,3,,2,3,,3,2,
Russian,Q8016,Q2752595,3,3,,3,2,,2,1,
Russian,Q8016,Q154720,2,2,,3,1,,2,2,
Russian,Q8016,Q161227,3,3,,3,2,,3,2,
Russian,Q8016,Q679777,3,3,,3,3,,3,2,
Russian,Q8016,Q181978,3,3,,2,2,,3,2,
Russian,Q49773,Q2662880,3,2,,1,2,,2,3,
Russian,Q49773,Q574580,3,3,,2,3,,3,3,
Russian,Q49773,Q2385364,3,3,,2,2,,3,3,
Russian,Q49773,Q1554076,2,3,,1,1,,2,3,
Russian,Q49773,Q2632665,3,3,,2,2,,2,2,
Russian,Q49773,Q3008160,3,2,,2,1,,2,2,
Russian,Q49773,Q4067002,3,3,,3,3,,1,2,
Russian,Q49773,Q191442,3,3,,2,1,,2,3,
Russian,Q49773,Q2914319,3,3,,2,2,,2,2,
Russian,Q49773,Q206898,3,2,,1,2,,2,3,
Russian,Q49773,Q921098,2,3,,1,3,,2,2,
Russian,Q49773,Q89640,3,2,,2,3,,3,3,
Russian,Q49773,Q4158195,3,3,,3,3,,2,2,
Russian,Q49773,Q160637,2,3,,1,2,,3,2,
